"","Offense","Description","Neighborhood","Precinct","UCRCode","Time","Month","Year","Date","Longitude","Latitude"
"1","ASLT2","Asslt W/dngrs Weapon","DOWNTOWN WEST",1,5,"13:22:00","Jan","2015","2015-01-21",-93.28022,44.977928
"2","THEFT","Other Theft","HAWTHORNE",4,7,"00:00:00","Jan","2015","2015-01-21",-93.289078,45.00037
"3","AUTOTH","Motor Vehicle Theft","DOWNTOWN WEST",1,8,"13:23:00","Jan","2015","2015-01-21",-93.271652,44.972519
"4","THEFT","Other Theft","DOWNTOWN WEST",1,7,"11:00:00","Jan","2015","2015-01-21",-93.276031,44.974701
"5","TFMV","Theft From Motr Vehc","JORDAN",4,7,"12:15:00","Jan","2015","2015-01-21",-93.311577,45.00602
"6","THEFT","Other Theft","ERICSSON",3,7,"15:30:00","Jan","2015","2015-01-21",-93.23175,44.926521
"7","BURGD","Burglary Of Dwelling","WILLARD - HAY",4,6,"14:00:00","Jan","2015","2015-01-21",-93.307838,44.994431
"8","BURGD","Burglary Of Dwelling","NEAR - NORTH",4,6,"14:00:00","Jan","2015","2015-01-21",-93.299072,44.998451
"9","THEFT","Other Theft","WILLARD - HAY",4,7,"15:30:00","Jan","2015","2015-01-21",-93.30658,44.998489
"10","BURGD","Burglary Of Dwelling","HAWTHORNE",4,6,"13:57:00","Jan","2015","2015-01-21",-93.285088,45.012218
"11","THEFT","Other Theft","DOWNTOWN WEST",1,7,"15:00:00","Jan","2015","2015-01-21",-93.272926,44.976681
"12","THEFT","Other Theft","PHILLIPS WEST",3,7,"13:05:00","Jan","2015","2015-01-21",-93.264381,44.959419
"13","BURGD","Burglary Of Dwelling","WINDOM PARK",2,6,"18:00:00","Jan","2015","2015-01-21",-93.243607,45.010139
"14","THEFT","Other Theft","DOWNTOWN WEST",1,7,"16:20:00","Jan","2015","2015-01-21",-93.272926,44.976681
"15","TFPER","Theft From Person","LOGAN PARK",2,7,"16:10:00","Jan","2015","2015-01-21",-93.25499,45.0009
"16","BIKETF","Bike Theft","PROSPECT PARK - EAST RIVER ROAD",2,7,"21:30:00","Jan","2015","2015-01-21",-93.222702,44.970711
"17","BIKETF","Bike Theft","LOWRY HILL EAST",5,7,"00:00:00","Jan","2015","2015-01-21",-93.289902,44.96236
"18","THEFT","Other Theft","POWDERHORN PARK",3,7,"14:00:00","Jan","2015","2015-01-21",-93.262108,44.934299
"19","THFTSW","Theft By Swindle","WEST CALHOUN",5,7,"16:15:00","Jan","2015","2015-01-21",-93.32132,44.94722
"20","DASLT2","2nd Deg Domes Aslt","WILLARD - HAY",4,5,"18:35:00","Jan","2015","2015-01-21",-93.307838,44.994431
